Airline,FlightNumber,Departure,Arrival,DepartureTime,ArrivalTime,Delay
British Airways,7734,Rome,Berlin,Morning,Morning,Delayed
Air Algerie,552,Paris,Madrid,Afternoon,Morning,Cancelled
Turkish Airlines,1913,Doha,Doha,Morning,Morning,On Time
Saudi Arabian Airlines,9512,Sydney,Doha,Night,Morning,Delayed
Kuwait Airways,1818,Sydney,Dubai,Afternoon,Afternoon,On Time
Qatar Airways,4935,Paris,Tokyo,Night,Evening,Delayed
Turkish Airlines,1562,Paris,Berlin,Afternoon,Night,Cancelled
South Korea Air,7611,Sydney,Doha,Morning,Evening,On Time
ITA Airways,2494,Sydney,Tokyo,Evening,Evening,Cancelled
Qatar Airways,2289,Tokyo,Doha,Evening,Morning,Cancelled
Air Algerie,3280,Tokyo,Dubai,Night,Evening,On Time
Emirates,8645,Berlin,Rome,Night,Evening,On Time
South Korea Air,2843,New York,Paris,Evening,Afternoon,Delayed
Air Algerie,6793,Tokyo,London,Evening,Morning,Cancelled
Japan Airlines,8303,New York,Rome,Evening,Morning,Cancelled
South Korea Air,9738,Paris,Sydney,Night,Evening,Cancelled
Kuwait Airways,3060,Tokyo,Dubai,Evening,Morning,Delayed
Swiss International Air Lines,595,Sydney,Rome,Morning,Evening,On Time
Emirates,4860,Tokyo,Dubai,Night,Afternoon,Cancelled
Turkish Airlines,3588,Rome,Berlin,Morning,Morning,Delayed
American Airlines,2937,Paris,London,Afternoon,Afternoon,On Time
Emirates,3810,Sydney,New York,Night,Evening,Cancelled
ITA Airways,3315,Dubai,Dubai,Evening,Afternoon,On Time
Qatar Airways,6228,New York,London,Evening,Evening,On Time
Swiss International Air Lines,5993,Berlin,Rome,Morning,Morning,Delayed
Air Algerie,1991,Tokyo,Rome,Afternoon,Afternoon,On Time
Swiss International Air Lines,3170,Tokyo,New York,Evening,Evening,On Time
Qatar Airways,3878,Sydney,Paris,Afternoon,Afternoon,Cancelled
Japan Airlines,4314,Berlin,Dubai,Evening,Morning,Delayed
American Airlines,4399,Sydney,Rome,Evening,Evening,Cancelled
Japan Airlines,2201,Paris,New York,Evening,Evening,On Time
Lufthansa,8852,Dubai,Rome,Morning,Night,On Time
Japan Airlines,4167,London,Madrid,Evening,Evening,Delayed
ITA Airways,282,Dubai,Dubai,Night,Morning,Cancelled
Lufthansa,4059,Berlin,Dubai,Morning,Morning,Cancelled
South Korea Air,9670,Dubai,Doha,Morning,Night,On Time
Air Algerie,1730,Tokyo,Sydney,Morning,Afternoon,Delayed
ITA Airways,8100,Doha,New York,Afternoon,Afternoon,On Time
Air Algerie,9266,Tokyo,Madrid,Morning,Morning,On Time
ANA,7106,Rome,Madrid,Afternoon,Morning,On Time
Saudi Arabian Airlines,7233,Dubai,Sydney,Evening,Evening,Delayed
Qatar Airways,3820,London,London,Evening,Morning,Delayed
Qatar Airways,2408,Berlin,Tokyo,Night,Afternoon,Delayed
Qatar Airways,2562,Paris,Doha,Afternoon,Night,Delayed
Lufthansa,7985,Tokyo,Doha,Afternoon,Evening,Cancelled
Japan Airlines,7682,Paris,New York,Evening,Afternoon,Delayed
British Airways,1770,Madrid,Berlin,Night,Morning,On Time
South Korea Air,7925,Madrid,Paris,Afternoon,Morning,On Time
Lufthansa,9709,Dubai,Berlin,Morning,Night,On Time
Emirates,8846,Rome,Madrid,Morning,Night,On Time
Saudi Arabian Airlines,941,Paris,Rome,Afternoon,Night,Delayed
Saudi Arabian Airlines,3641,New York,Berlin,Night,Morning,Delayed
Saudi Arabian Airlines,3419,Rome,Rome,Morning,Morning,Cancelled
British Airways,1781,Paris,Sydney,Night,Evening,Delayed
Saudi Arabian Airlines,8690,Rome,Sydney,Afternoon,Afternoon,Cancelled
ANA,8535,Madrid,Tokyo,Morning,Night,Delayed
Qatar Airways,7266,Sydney,Dubai,Evening,Morning,On Time
Qatar Airways,3377,Rome,Berlin,Evening,Afternoon,Delayed
Etihad Airways,7100,Sydney,Tokyo,Afternoon,Evening,Delayed
Qatar Airways,3401,New York,Rome,Evening,Night,Cancelled
Etihad Airways,6002,Doha,Tokyo,Evening,Night,Delayed
British Airways,9810,New York,Berlin,Morning,Afternoon,On Time
Emirates,8609,Madrid,Tokyo,Night,Afternoon,Delayed
Swiss International Air Lines,1523,London,New York,Night,Morning,Delayed
Turkish Airlines,8341,New York,New York,Evening,Evening,On Time
Lufthansa,3917,London,Sydney,Evening,Night,On Time
Turkish Airlines,3317,New York,Tokyo,Evening,Afternoon,Cancelled
Swiss International Air Lines,7203,Dubai,Sydney,Morning,Evening,Cancelled
Air Algerie,5294,Sydney,Tokyo,Morning,Afternoon,Cancelled
Emirates,1323,Paris,Paris,Morning,Morning,Delayed
Qatar Airways,2016,Madrid,Dubai,Night,Afternoon,On Time
ITA Airways,5651,Rome,Berlin,Morning,Evening,Delayed
Delta Airlines,377,Dubai,Sydney,Morning,Afternoon,Delayed
Saudi Arabian Airlines,1866,Paris,Doha,Evening,Morning,Delayed
Saudi Arabian Airlines,7867,Madrid,New York,Night,Evening,On Time
Swiss International Air Lines,3767,Madrid,Sydney,Evening,Afternoon,Cancelled
Japan Airlines,9024,Berlin,Madrid,Morning,Morning,On Time
Qatar Airways,6423,Madrid,Madrid,Evening,Evening,Cancelled
American Airlines,9306,Sydney,Paris,Morning,Evening,Delayed
American Airlines,7632,London,Dubai,Evening,Morning,On Time
Etihad Airways,3791,Tokyo,Rome,Evening,Night,Delayed
Saudi Arabian Airlines,6106,Doha,Madrid,Afternoon,Night,Delayed
American Airlines,3135,Sydney,Paris,Evening,Evening,Delayed
ANA,7666,Doha,Dubai,Morning,Night,On Time
British Airways,4390,Sydney,Sydney,Afternoon,Evening,On Time
